Name,Code,R,G,B
Black,BLK,0,0,0
White,WHT,255,255,255
Red,RED,255,0,0
Green,GRN,0,255,0
Blue,BLU,0,0,255
Yellow,YEL,255,255,0
Orange,ORG,255,165,0
Purple,PUR,128,0,128
Brown,BRN,165,42,42
Gray,GRY,128,128,128
